draw,flips,value_gain
644,4,-0.0025839766826611897
645,4,0.022139940743476017
646,6,0.017008581011678212
647,4,0.02218005005187307
648,7,0.03888999165322275
649,5,-0.025048901502217932
650,3,0.004210345655396311
651,4,0.059066469204615606
652,6,0.009131203134060264
653,3,-0.01181936828777697
654,4,-0.0048123034668083
655,6,0.0355994503970174
656,5,0.009521108192048652
657,3,-0.02268317423983918
658,4,0.02542030234236537
659,3,0.012196879622603726
660,4,-0.008809912807657638
661,4,0.0444441559065574
662,5,-0.02613755864785119
663,3,0.003622464888192679
664,3,0.017398173304671707
665,4,0.001067360599207656
666,4,-0.04051268063953205
667,6,0.005023932787437853
668,5,0.013805904446036587
669,3,-0.008516347918394347
670,2,-0.0076173966457269105
671,6,0.004075644609963908
672,4,0.005700064338573304
673,4,0.0175136727983434
674,4,0.020338862104841402
675,3,0.0054568418242672565
676,6,0.0215252169077449
677,5,0.006450145814621531
678,3,0.015312748198975453
679,4,0.0026571029484535576
680,4,-0.0039321509890321085
681,4,-0.002061376895175626
682,3,0.012133280802883619
683,2,0.009127631019143656
684,7,0.003081974697017644
685,4,0.007376566213993881
686,5,-0.009847069493423772
687,4,-0.010210838935274623
688,4,-0.00786934426563033
689,4,0.0030821981990061453
690,3,0.01781400924800242
691,5,0.027441087092001736
692,4,0.01963142189709783
693,5,0.029842813580054074
694,4,-0.004010615727414417
695,3,0.011496390173790269
696,4,0.017506297430566475
697,3,0.025422647677368647
698,3,-0.03109896128705862
699,5,0.0028917246405674034
700,7,0.03889088081430409
701,4,0.0017849500585411285
702,4,0.0017000031740547527
703,2,0.010765489402279615
704,5,0.003444406744663135
705,6,0.0047424687116758655
706,4,-0.007010356235412993
707,5,0.011839885236849836
708,7,-0.0003092078017576123
709,6,0.014401897621654844
710,5,-0.0008634268532767153
711,4,0.0004740764524615009
712,5,0.015615642066780174
713,4,0.011535472194680742
714,5,-0.0045444601830832735
715,3,0.012652491561790128
716,5,0.0045159722903411175
717,5,0.030091781561463256
718,4,0.007151281836827374
719,4,0.024671964147546577
720,5,-0.014738130630280061
721,7,-0.022648824236739057
722,4,0.009144324269232122
723,4,0.017892590049632305
724,5,0.006013318435505168
725,6,0.007201743556368875
726,5,-0.010191855893147963
727,5,0.0046207871097215195
728,4,0.031802912083600435
729,5,-0.004184424247700593
730,4,0.02322574525101903
731,5,0.00969889836421031
732,4,0.005672973144782382
733,6,-0.0020174353269022697
734,5,-0.012014511714059326
735,6,0.02250358000517545
736,4,0.007017721953437564
737,4,-0.016333225420687405
738,6,0.003242506726927418
739,4,0.00736441500594643
740,5,-0.02414147896740716
741,5,-0.0049805542874091354
742,4,-0.010852319500812446
743,6,0.04629726380987154
744,3,0.03310435256388278
745,4,2.0241345879855615e-05
746,6,-0.009809005179390644
747,5,-0.004111861422474367
748,3,-0.0071487312337196
749,3,0.008344131486988064
750,6,0.008476448162378357
751,5,-0.030068330270482533
752,4,0.003916673203347406
753,5,0.058729311217632946
754,5,-0.005208595932692355
755,5,0.024347695008944875
756,7,-0.012151391388996877
757,3,0.0014767919389528192
758,5,0.021892210434737533
759,3,0.01276360407120174
760,4,-0.012520647066724603
761,8,0.023393851703755762
762,4,-0.0060506431093460215
763,4,-0.019587096128650033
764,3,-0.00631793188637834
765,5,-0.01798840043015902
766,6,0.004166436793479172
767,4,0.05429363741038379
768,4,0.02403802544283032
769,6,0.0122439350820845
770,4,-0.006884566701478954
771,5,0.0027981369375199745
772,7,-0.023377888677952298
773,4,-0.010709882343757563
774,4,-0.005282484930217848
775,4,-0.006247142993441852
776,5,0.003287850731530063
777,4,-0.010899230123759906
778,4,-0.009281634715147905
779,3,-0.012658728932141494
780,4,0.01803421422564945
781,6,0.014242308837360731
782,6,-0.002220184628416523
783,5,0.023363316766884686
784,3,-0.004935325301375266
785,6,-0.00041534140155355186
786,6,0.001921343335932223
787,4,-0.009396736444070635
788,3,-0.0031735000700820887
789,5,0.020043853428558914
790,6,-0.012929931293647954
791,5,-0.0037104396306650534
792,4,0.0363917692512555
793,5,-0.012098176667825028
794,5,0.036800001249599666
795,5,0.015300674404996719
796,6,0.021254646389051363
797,6,0.010675095295720126
798,4,-0.027954915017504214
799,4,-0.008541459239806013
800,4,-0.011686978420801665
801,4,-0.01243495978465608
802,3,-0.005258716259511914
803,5,0.022531276153115672
804,6,0.011225926586723221
805,4,-0.007100986402115994
806,5,0.03256395369765034
807,5,0.01089207694380152
808,4,-0.009386317486123749
809,6,0.018673985354969717
810,6,-0.02171272608188304
811,3,-0.006322564080212638
812,3,0.004853768927777808
813,5,0.02014851709964364
814,4,-0.019065917396006053
815,3,-0.002010042348167915
816,4,-0.011075126575655589
817,4,-0.021918885030034082
818,3,-0.001911190052885173
819,4,-0.010954256812465186
820,3,0.008601173303788545
821,6,0.022272999336856402
822,3,0.007477165436935475
823,5,0.014101509326517955
824,4,0.01932537550703106
825,5,-0.003503666855013623
826,6,-0.0037655518009688423
827,6,0.027747027363143783
828,5,-0.001909841860879789
829,5,-0.016274282528659947
830,3,0.0047972057792028625
831,6,0.014347253638856467
832,6,0.004335078982652139
833,3,-0.02844389418303982
834,5,0.011008724566268738
835,3,-0.006092311209462295
836,5,0.0236213860695071
837,5,0.021357997735014397
838,3,0.014539393631181199
839,6,-0.03267536574509955
840,4,0.010923038900532634
841,5,-0.011119313900732643
842,5,-0.02678494804364047
843,3,0.011441464344973592
844,6,-0.024669215033849903
845,4,-0.018464266855349798
846,4,-0.00418886352453012
847,4,0.02084513454163243
848,4,-0.004175280783700669
849,3,-0.004699383847408366
850,4,-0.008412085036554745
851,6,0.021655105687813474
852,5,0.002679551880493419
853,3,0.028168453625845316
854,5,-0.021017331833471185
855,5,0.039695700217836055
856,5,0.07525472535210755
857,5,0.006665707372007061
858,3,0.004956930865726491
859,4,0.03433403907556828
860,4,-0.004426145537444579
861,4,0.019661907428112746
862,4,-0.01759127800688139
863,6,0.04320336202286126
864,5,0.011614748765880572
865,4,0.01414874174572353
866,5,-0.01820996343491018
867,3,-0.020388217752170673
868,4,-0.01593230701463186
869,5,0.025377377773101804
870,3,0.013240617806172875
871,5,0.002621691366907795
872,5,-0.008828146615102745
873,3,0.028888265264853653
874,5,-0.029064016740019592
875,5,-0.014563592670789677
876,4,-0.021559527939003963
877,6,0.03817326186831781
878,5,0.039259525126112
879,3,0.003648263456597439
880,4,0.020832874840721927
881,4,-0.022840824039679224
882,4,0.025472049679577374
883,3,-0.0029905554026971146
884,6,0.04861290872343716
885,7,0.055202045157379455
886,6,0.02183711451744337
887,3,0.003159995891066078
888,3,0.010726648423304843
889,6,-0.0031334522943340516
890,5,-0.007876940814050397
